FID,IID,PS_PL1,PS_PL2,PS_PL3,PS_PL4,PS_PL5,PS_PL6,PS_PL7,PS_PL8,SM_PL9,SM_PL10,SM_PL11,SM_PL12,SM_PL14,SM_PL16,SM_PL18,SM_PL19,SM_PL21,SM_PL22,SM_PL24,SM_PL25,PE_PL26,PE_PL27,PE_PL28,PE_PL30,PE_PL31,PC_PL33,PC_PL34,PC_PL35,PC_PL36,PC_PL37,PC_PL38,PC_PL39,PC_PL40,PC_PL43,PC_PL44,PI_PL46,PI_PL47,PI_PL48,PI_PL49,PI_PL50,PI_PL51,LPC_PL52,LPC_PL53,LPC_PL55,LPC_PL56,LaCer_PL57,LaCer_PL58,LaCer_PL59,LaCer_PL60,LaCer_PL61,LaCer_PL62,LaCer_PL64,LaCer_PL66,Glucer_PL67,Glucer_PL69,Glucer_PL70
302,302,1323665,3255591,3243176,11505868,13883956,3752698,5351167,4605895,9456192,3736373,8264211,47505979,12834686,27612744,2143020,35596363,2312177,38286696,2248090,17977137,6313837,25012347,24597175,28907516,63866138,23903456,102713613,28541806,40909364,94597649,25591027,39499823,134189825,24546789,47365823,4405965,5352772,6478131,825176,988678,739696,9918142,1745479,4008113,2146967,1507178,520020,884699,1204134,1342119,2783701,3827396,1705222,1062401,1313457,715340
263,263,2233766,3666212,5686316,15778357,12021656,5199863,5123720,5255470,11230308,5040302,9822117,48166978,18806394,37538623,3232373,49622018,2944050,47638396,3157678,24725549,4792589,27152141,23016315,40905185,62904739,21339752,105323264,33235953,33201737,94791931,32173432,60692796,115972651,31087318,41884435,4013686,7619803,7975975,1503678,1975815,1578354,12167566,2124708,2746893,1635496,1301131,531432,1039558,1237977,1424750,2685799,3269307,1514919,995390,1428243,815838
303,303,1789668,3665945,3985982,13054522,13861216,4308474,5575591,4491964,10643265,4225465,9032822,49078971,18319581,35079741,3049601,46387843,2858888,44735568,3041681,23528959,5743197,27788298,24170276,36031377,63955259,21336068,98082392,23922005,34206220,89850221,27203831,45238926,113819003,30758407,45641445,3996745,5330199,5608360,938470,1253269,965380,8321908,1636060,2846378,1883154,1190276,479817,597565,1010700,828352,2347012,2869435,1405357,616172,935440,516520
363,363,2038461,3632881,3420489,11067943,10049194,4212435,4788521,4209251,8066664,3319098,7235370,39311983,11745149,28625330,2395997,36039159,2516789,41629386,2476903,20933752,6097951,27362002,20514049,31200069,51149854,25600961,102420920,26329499,31531301,89882381,18643889,43957512,97037027,20745773,28918660,3559596,4470470,5413180,921365,1216010,1009534,7259711,2148337,3145703,2581089,894930,636976,1135769,1490553,1826248,2990800,4402575,1954866,937368,1195075,723233
229,229,2435007,4599571,5074366,15309912,13178381,4440005,4859010,3763671,10901285,4999951,7659856,51608314,17922680,35655759,3668233,47224807,2676252,47607400,3899018,25642349,4625071,28283055,24336903,38315644,64349137,20187365,99160515,20650140,35332241,101745255,34065979,62148478,132863453,32989022,45453258,5161090,7818077,8648732,1250662,1790268,1449713,10151815,1719320,2243381,1477940,1361068,544264,1048312,1092384,1387953,2640551,3417504,1867354,1237918,1448116,963549
230,230,2386538,4641523,4295201,12651566,11660924,4026157,4107013,3924720,10196572,4036371,8796732,43859622,18174848,35726122,3469719,45810104,2731857,41091584,3354424,22321107,5705708,26728174,25520649,32115757,59581792,29273210,126274655,30465815,44312886,109634207,35041779,64190308,134073970,26918416,40818310,5005243,7508420,9491490,1224932,1510671,1188711,13654820,1900512,1914002,1216608,1314666,635481,1289609,1269447,1740216,2993160,3469681,1972604,1194557,1601853,939139
231,231,1890881,3671221,3963906,12249791,11989310,3687750,4304482,4605063,8116781,3431429,7935078,42418653,15631252,29436122,2984958,41093630,2560039,37758795,2995046,20545446,5398449,26199343,25135909,29215129,56242916,25653057,104225686,25669177,36000047,90750840,29519068,50270548,125319773,24353269,40281433,5416487,6940725,7956845,1107360,1318965,988319,23871633,2378787,3473107,1925597,1332506,606639,1244930,1115735,1616004,2756742,3077361,1610507,1212951,1515929,943668
232,232,1751297,3238805,4117532,12680385,12003647,3707205,4303210,4487411,9871040,4580237,7138508,46533740,16037128,31012540,2878894,42580344,2487995,42753683,2884265,21761232,5534844,27561137,22207303,32921534,58185901,33825177,126540586,26425318,40514901,107624996,33087844,52935971,122432994,28491246,43684787,5222738,7200741,8526212,1088866,1265163,1081956,9912714,1469063,2377985,1592085,954901,408062,895954,792654,1240186,2085076,2667080,1335891,1155981,1593203,975491
233,233,1536402,2714409,4749741,14081286,12207574,3892504,4762690,4279880,9231180,4080635,7115236,45779971,16147059,36649668,2857742,43598695,2367158,48622382,2898681,22726082,5404585,29816975,23689818,40333216,66357475,29284737,131977220,27351044,37947948,116413404,36605113,58392090,116945373,31019572,40490832,4647154,7634372,7496657,1445535,1957458,1498643,9606325,1661768,1819851,1694457,1007093,479036,1061375,1083526,1658332,2415340,3516610,1585371,1210319,1646310,1071015
304,304,1218530,2745197,4316256,14474822,14764037,4704533,5723927,4305563,10202342,4968901,8345901,43536504,18374674,37958863,3340430,47520502,3077575,46245168,3175744,24083993,3941640,18701465,23186155,35075378,72211342,14374986,75387345,22614957,29511048,75068227,23546978,45827854,120288137,30228765,54178694,3261180,6309763,6665963,1102615,1328931,1002032,6039974,1189436,2206682,1098487,1280198,548765,1150910,1216710,1654449,2484992,3181135,1598944,852370,1267337,733706
